Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
ELPI;PT Pelayaran Nasional Ekalya Purnamasari Tbk;08-Aug-22;Transportation & Logistic;Logistics & Deliveries; 222.400 ; 7.412.000.000 ; 200 ;35%;37%;14%;3%;16%;18%;-18%;17%;-1%;TRIMEGAH SEKURITAS INDONESIA TBK. (LG);PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS;ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;;;;08-Sep-21;14-Sep-21;07-Oct-21;07-Mar-22;07-Sep-22;; 93 ; 78 ; 74 ; 57 ; 64 ; 51 ; 50 ;;;;2021;;  ;  ; 102.689.916 ; 127.583.891 ;  ;;  ;  ; 42.419.764 ; 60.233.000 ;  ;;  ;  ; 21.172.701 ; 18.374.227 ;  ;;  ;  ; 8.881.073 ;-1.548.747 ;  ;;
KLIN;PT Klinko Karya Imaji Tbk;09-Aug-22;Consumer Cyclicals;Specialty Retail; 23.000 ; 1.307.500.000 ; 100 ;-10%;-26%;-44%;-69%;-54%;84%;-16%;90%;-482%;ELIT SUKSES SEKURITAS;MORHAN & PARTNERS;DANIEL DJOKO TARLIMAN, S.H.;;;;;;09-Sep-21;15-Sep-21;08-Oct-21;08-Mar-22;08-Sep-22;; 154 ; 125 ; 197 ; 70 ; 62 ; 144 ; 125 ;;;;2021;;  ;  ; 58.708.166.478 ; 84.478.559.563 ;  ;;  ;  ; 24.370.099.409 ; 22.932.406.827 ;  ;;  ;  ; 14.570.837.485 ; 15.358.970.719 ;  ;;  ;  ; 7.121.380.115 ; 720.303.659 ;  ;;
TOOL;PT Rohartindo Nusantara Luas Tbk;09-Aug-22;Consumer Cyclicals;Specialty Retail; 52.070 ; 2.050.000.000 ; 127 ;35%;9%;-14%;-41%;-54%;47%;8%;-8%;27%;MIRAE ASSET SEKURITAS INDONESIA (YP);TASNIM, FARDIMAN, SAPUAN, NUZULIANA, RAMDAN  & PARTNERS;INFINITI & CO;;;;;;25-Oct-21;29-Oct-21;24-Nov-21;22-Apr-22;24-Oct-22;; 262 ; 218 ; 238 ; 75 ; 69 ; 52 ; 53 ;;;;2021;;  ;  ; 206.482.510.614 ; 262.419.785.855 ;  ;;  ;  ; 155.435.119.827 ; 122.407.148.085 ;  ;;  ;  ; 131.083.725.843 ; 139.351.624.614 ;  ;;  ;  ; 5.750.754.367 ; 6.178.640.735 ;  ;;
BUAH;PT Segar Kumala Indonesia Tbk;09-Aug-22;Consumer Non-Cyclicals;Food & Staples Retailing; 77.600 ; 1.000.000.000 ; 388 ;25%;20%;61%;178%;272%;40%;0%;36%;-29%;RELIANCE SEKURITAS INDONESIA TBK. (LS);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS (MEMBER OF CROWE GLOBAL);HANAFIAH PONGGAWA & PARTNERS (DENTONS HPRP);;;;;;01-Nov-21;05-Nov-21;30-Nov-21;28-Apr-22;31-Oct-22;; 350 ; 308 ; 248 ; 197 ; 194 ; 147 ; 145 ;;;;2021;;  ;  ; 56.543.458.457 ; 147.435.386.311 ;  ;;  ;  ; 20.156.496.760 ; 8.851.215.507 ;  ;;  ;  ; 68.570.265.352 ; 74.192.403.040 ;  ;;  ;  ; 18.796.646.417 ; 17.466.099.847 ;  ;;
CRAB;PT Toba Surimi Industries Tbk;10-Aug-22;Consumer Non-Cyclicals;Agricultural Products; 58.500 ; 1.950.000.000 ; 150 ;35%;56%;59%;41%;59%;9%;-22%;-13%;43%;KGI SEKURITAS INDONESIA (HD);HELIANTONO & PARTNERS;WILLIAM & HENDRIK ATTORNEYS AND COUNSELORS AT LAW;;;;;;22-Nov-21;26-Nov-21;21-Dec-21;20-May-22;21-Nov-22;; 765 ; 770 ; 770 ; 685 ; 690 ; 670 ; 665 ;;;;2021;;  ;  ; 25.285.211.943.000 ; 57.728.318.286.000 ;  ;;  ;  ; 17.122.064.447.000 ; 24.082.708.466.000 ;  ;;  ;  ; 6.186.730.239.000 ; 6.869.568.721.000 ;  ;;  ;  ; 601.964.452.000 ; 1.381.071.227.000 ;  ;;
MEDS;PT Hetzer Medical Indonesia Tbk;10-Aug-22;Healthcare;Healthcare Equipment & Supplies; 39.063 ; 1.562.500.000 ; 125 ;34%;127%;114%;0%;-38%;62%;-31%;-50%;-99%;WANTEG SEKURITAS (AN);HELIANTONO & PARTNERS;WILLIAM & HENDRIK ATTORNEYS AND COUNSELORS AT LAW;;;;;;25-Nov-21;01-Dec-21;24-Dec-21;24-May-22;24-Nov-22;; 167 ; 140 ; 142 ; 133 ; 131 ; 112 ; 122 ;;;;2021;;  ;  ; 366.716.427.353 ; 412.008.142.696 ;  ;;  ;  ; 155.446.160.485 ; 76.005.204.698 ;  ;;  ;  ; 266.840.885.116 ; 265.767.503.437 ;  ;;  ;  ;-2.694.233.067 ; 3.262.427.459 ;  ;;
COAL;PT Black Diamond Resources Tbk;07-Sep-22;Energy;Coal; 125.000 ; 6.250.000.000 ; 100 ;35%;280%;354%;36%;-45%;205%;165%;303%;233%;SURYA FAJAR SEKURITAS;PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNER;IABF LAW FIRM ;;;;;;25-Nov-21;01-Dec-21;24-Dec-21;24-May-22;24-Nov-22;; 600 ; 610 ; 486 ; 496 ; 472 ; 440 ; 448 ;;;;2021;;  ;  ; 1.202.108.605.233 ; 1.694.857.651.727 ;  ;;  ;  ; 624.034.570.011 ; 592.070.050.008 ;  ;;  ;  ; 2.443.371.939.542 ; 2.329.490.453.945 ;  ;;  ;  ; 105.332.387.596 ; 88.793.766.910 ;  ;;
BSBK;PT Wulandari Bangun Laksana Tbk;08-Nov-22;Properties & Real Estate;Real Estate Management & Development; 275.000 ; 25.091.713.397 ; 100 ;35%;170%;140%;-50%;-50%;11%;-22%;11%;-100%;"KGI SEKURITAS INDONESIA (HD); PANCA GLOBAL SEKURITAS (PG); YUANTA SEKURITAS INDONESIA (FS); AARTHA SEKURITAS INDONESIA (SH)";TJAHJADI & TAMARA;LASUT PANE AND PARTNERS ;;;;;;06-Dec-21;10-Dec-21;05-Jan-22;03-Jun-22;05-Dec-22;; 154 ; 222 ; 161 ; 206 ; 153 ; 147 ; 160 ;;;;2021;;  ;  ; 778.912.507 ; 54.490.993.411 ;  ;;  ;  ; 124.080.478 ; 2.471.720.435 ;  ;;  ;  ; 1.174.124.548 ; 22.120.710.071 ;  ;;  ;  ; 144.180.242 ; 3.960.992.608 ;  ;;
CBUT;PT Citra Borneo Utama Tbk;08-Nov-22;Consumer Non-Cyclicals;Agricultural Products; 431.250 ; 3.125.000.000 ; 690 ;25%;21%;88%;180%;197%;49%;16%;11%;-22%;"BRI DANAREKSA SEKURITAS (OD); MAYBANK SEKURITAS INDONESIA; MIRAE ASSET SEKURITAS INDONESIA (YP); UOB KAY HIAN SEKURITAS (AI)";PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNER (MEMBER OF PKF INTERNATIONAL);SUHARDIMAN KARDONO SWADIRI HAZWAR;;;;;;06-Dec-21;10-Dec-21;05-Jan-22;03-Jun-22;05-Dec-22;; 3.410 ; 3.440 ; 3.340 ; 3.910 ; 4.450 ; 4.150 ; 4.200 ;;;;2021;;  ;  ; 1.086.782.000.000 ; 1.568.140.000.000 ;  ;;  ;  ; 352.403.000.000 ; 625.180.000.000 ;  ;;  ;  ; 1.234.652.000.000 ; 2.704.134.000.000 ;  ;;  ;  ; 93.079.000.000 ; 605.503.000.000 ;  ;;
MKTR;PT Menthobi Karyatama Raya Tbk;08-Nov-22;Consumer Non-Cyclicals;Agricultural Products; 300.000 ; 12.000.000.000 ; 120 ;8%;9%;4%;73%;3%;49%;-9%;23%;302%;"DANATAMA MAKMUR SEKURITAS (II); KB VALBURY SEKURITAS (CP); WANTEG SEKURITAS (AN)";PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS;HWMA LAW FIRM ;;;;;;06-Dec-21;10-Dec-21;05-Jan-22;03-Jun-22;05-Dec-22;; 159 ; 150 ; 152 ; 124 ; 118 ; 50 ; 50 ;;;;2021;;  ;  ; 3.526.415.876.526 ; 5.656.783.727.367 ;  ;;  ;  ; 2.595.914.605.098 ; 3.240.668.510.226 ;  ;;  ;  ; 3.031.488.092.499 ; 6.234.855.968.339 ;  ;;  ;  ; 81.437.241.413 ; 301.834.684.569 ;  ;;
BELI;PT Global Digital Niaga Tbk;08-Nov-22;Technology;Online Applications & Services; 7.997.043 ; 118.474.705.740 ; 450 ;0%;5%;6%;1%;4%;-23%;-57%;72%;65%;"BCA SEKURITAS (SQ); BRI DANAREKSA SEKURITAS (OD); DBS VICKERS SEKURITAS INDONESIA (DP); MORGAN STANLEY SEKURITAS INDONESIA (MS); DBS VICKERS SEKURITAS INDONESIA (DP); MANDIRI SEKURITAS (CC); BNI SEKURITAS (NI); INDO PREMIER SEKURITAS (PD); KB VALBURY SEKURITAS (CP); YULIE SEKURITAS INDONESIA TBK (RS); DANASAKTI SEKURITAS INDONESIA (PF)";PURWANTO, SUNGKORO & SURJA (MEMBER OF ERNST & YOUNG GLOBAL LIMITED);MAKES & PARTNERS LAW FIRM ;;;;;;06-Dec-21;10-Dec-21;05-Jan-22;03-Jun-22;05-Dec-22;; 336 ; 274 ; 200 ; 197 ; 700 ; 84 ; 93 ;;;;2021;;  ;  ; 282.077.118.255 ; 377.422.657.739 ;  ;;  ;  ; 256.851.965.179 ; 243.762.211.261 ;  ;;  ;  ; 308.228.612.302 ; 315.940.242.985 ;  ;;  ;  ; 3.134.922.988 ; 4.911.439.431 ;  ;;
PRAY;PT Famon Awal Bros Sedaya Tbk;08-Nov-22;Healthcare;Healthcare Providers; 272.000 ; 13.959.422.300 ; 900 ;-1%;-16%;-18%;-19%;-23%;;;;;INDO PREMIER SEKURITAS (PD);PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS (PKF);ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;;;;07-Dec-21;13-Dec-21;06-Jan-22;06-Jun-22;06-Dec-22;; 200 ; 226 ; 226 ; 655 ; 940 ; 825 ; 970 ;;;;2021;;  ;  ; 915.091.775.431 ; 1.400.383.315.761 ;  ;;  ;  ; 492.835.422.654 ; 597.676.439.665 ;  ;;  ;  ; 635.242.826.351 ; 1.864.537.484.808 ;  ;;  ;  ; 72.639.913.528 ; 198.141.305.025 ;  ;;
OMED;PT Jayamas Medica Industri Tbk;08-Nov-22;Healthcare;Healthcare Equipment & Supplies; 828.005 ; 27.058.850.000 ; 204 ;24%;26%;17%;-3%;3%;45%;-9%;-22%;-49%;"CLSA SEKURITAS INDONESIA (KZ); CIMB NIAGA SEKURITAS; CIPTADANA SEKURITAS ASIA (KI)";TANUBRATA SUTANTO FAHMI BAMBANG & PARTNER;ASSEGAF HAMZAH & PARTNERS;;;;;;08-Dec-21;14-Dec-21;07-Jan-22;07-Jun-22;07-Dec-22;; 168 ; 141 ; 124 ; 136 ; 199 ; 181 ; 220 ;;;;2021;;  ;  ; 71.079.175.155 ; 101.174.568.475 ;  ;;  ;  ; 19.727.705.792 ; 11.641.961.819 ;  ;;  ;  ; 59.987.664.702 ; 66.883.321.837 ;  ;;  ;  ; 7.286.939.006 ; 4.549.443.319 ;  ;;
KDTN;PT Puri Sentul Permai Tbk;09-Nov-22;Consumer Cyclicals;Tourism & Recreation; 37.500 ; 1.250.000.000 ; 150 ;26%;7%;-8%;-10%;-30%;79%;-10%;23%;-85%;VICTORIA SEKURITAS INDONESIA (MI);AMIR ABADI JUSUF, ARYANTO, MAWAR & REKAN;LAW FIRM FAHMY HOESSEIN AND PARTNERS;;;;;;08-Dec-21;14-Dec-21;07-Jan-22;07-Jun-22;07-Dec-22;; 865 ; 885 ; 915 ; 780 ; 725 ; 675 ; 640 ;;;;2021;;  ;  ; 5.870.884.534.978 ; 10.873.760.236.580 ;  ;;  ;  ; 1.186.250.145.899 ; 1.458.140.304.638 ;  ;;  ;  ; 5.731.260.683.244 ; 6.779.643.348.943 ;  ;;  ;  ; 1.136.147.829.489 ; 1.434.551.222.696 ;  ;;
PDPP;PT Primadaya Plastisindo Tbk;09-Nov-22;Basic Materials;Containers & Packaging; 100.000 ; 2.500.000.000 ; 200 ;35%;16%;1%;45%;56%;51%;57%;6%;70%;SEMESTA INDOVEST SEKURITAS (MG);MORHAN & PARTNER;LAW OFFICE LOU & PARTNERS;;;;;;09-Dec-21;15-Dec-21;07-Jan-22;08-Jun-22;08-Dec-22;; 135 ; 214 ; 198 ; 240 ; 165 ; 50 ; 50 ;;;;2021;;  ;  ; 186.445.787.000 ; 284.301.347.000 ;  ;;  ;  ; 2.401.238.000 ; 5.378.251.000 ;  ;;  ;  ; 15.363.890.000 ; 30.017.394.000 ;  ;;  ;  ; 1.347.791.000 ; 2.915.091.000 ;  ;;
ZATA;PT Bersama Zatta Jaya Tbk;10-Nov-22;Consumer Cyclicals;Specialty Retail; 170.000 ; 8.496.000.000 ; 100 ;35%;182%;31%;-50%;-50%;120%;-18%;11%;98%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;WILLIAM HENDRIK & SIREGAR DJOJONEGORO LAW GROUP;;;;;;13-Dec-21;17-Dec-21;12-Jan-22;10-Jun-22;12-Dec-22;; 208 ; 216 ; 394 ; 352 ; 95 ; 70 ; 71 ;;;;2021;;  ;  ; 21.681.167.885 ; 67.761.107.871 ;  ;;  ;  ; 7.924.822.588 ; 9.211.941.535 ;  ;;  ;  ; 40.537.649.962 ; 45.222.329.013 ;  ;;  ;  ; 1.049.938.752 ; 532.665.673 ;  ;;
KETR;PT Ketrosden Triasmitra Tbk;10-Nov-22;Infrastructures;Telecommunication Service; 127.860 ; 2.841.262.838 ; 300 ;7%;-6%;-25%;-39%;-23%;16%;3%;-21%;-41%;SHINHAN SEKURITAS INDONESIA (AH);HENDRAWINATA HANNY ERWIN & SUMARGO ;ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS ;;;;;;16-Dec-21;22-Dec-21;14-Jan-22;15-Jun-22;15-Dec-22;; 157 ; 131 ; 406 ; 930 ; 428 ; 174 ; 152 ;;;;2021;;  ;  ; 209.752.815.750 ; 248.685.841.255 ;  ;;  ;  ; 158.558.638.796 ; 154.128.325.905 ;  ;;  ;  ; 26.961.554.164 ; 61.158.765.960 ;  ;;  ;  ; 428.554.677 ; 4.376.214.467 ;  ;;
NINE;PT Techno9 Indonesia Tbk;05-Dec-22;Technology;Computer Hardware; 32.400 ; 2.157.000.000 ; 75 ;-8%;-37%;-39%;-59%;-87%;160%;14%;204%;454%;"VICTORIA SEKURITAS INDONESIA (MI); ELIT SUKSES SEKURITAS";HERMAN, DODY, TANUMIHARDJA & PARTNER (HDT & CO);RESOLVA LAW FIRM;;;;;;20-Dec-21;24-Dec-21;19-Jan-22;17-Jun-22;19-Dec-22;; 496 ; 525 ; 635 ; 605 ; 600 ; 1.500 ; 1.335 ;;;;2021;;  ;  ; 1.619.181.938.875 ; 2.536.928.133.488 ;  ;;  ;  ; 1.086.982.859.947 ; 1.454.811.215.703 ;  ;;  ;  ; 1.874.639.936.352 ; 2.913.262.716.998 ;  ;;  ;  ; 7.944.823.701 ; 305.382.393.152 ;  ;;
MMIX;PT Multi Medika Internasional Tbk;06-Dec-22;Healthcare;Healthcare Equipment & Supplies; 114.000 ; 2.400.000.000 ; 190 ;35%;27%;71%;29%;-11%;80%;-59%;-4%;-5%;MIRAE ASSET SEKURITAS INDONESIA (YP);HLB HADORI SUGIARTO ADI & PARTNERS;WARENS & PARTNERS ;;;;;;03-Jan-22;07-Jan-22;02-Feb-22;01-Jul-22;02-Jan-23;; 135 ; 380 ; 1.185 ; 1.625 ; 1.680 ; 955 ; 1.000 ;;;;2022;;  ;  ;  ; 965.702.525 ; 979.897.145 ;;  ;  ;  ; 760.258.512 ; 690.120.188 ;;  ;  ;  ; 63.079.946 ; 182.146.662 ;;  ;  ;  ; 9.004.256 ; 84.334.488 ;;
PADA;PT Personel Alih Daya Tbk;08-Dec-22;Industrials;Professional Services; 90.000 ; 3.150.000.000 ; 100 ;10%;10%;144%;-19%;-50%;80%;45%;0%;2%;"UOB KAY HIAN SEKURITAS (AI); ERDIKHA ELIT SEKURITAS (AO)";KANAKA PURADIREDJA, SUHARTONO;IRMA & SOLOMON LAW FRIM ;;;;;;10-Jan-22;14-Jan-22;09-Feb-22;08-Jul-22;09-Jan-23;; 242 ; 242 ; 276 ; 202 ; 147 ; 85 ; 84 ;;;;2022;;  ;  ;  ; 190.079.229.490 ; 206.843.021.086 ;;  ;  ;  ; 112.632.896.026 ; 69.773.142.469 ;;  ;  ;  ; 27.516.432.219 ; 27.176.585.345 ;;  ;  ;  ; 1.467.376.513 ; 1.500.842.953 ;;
ISAP;PT Isra Presisi Indonesia Tbk;09-Dec-22;Consumer Cyclicals;Auto Components; 145.920 ; 4.020.000.000 ; 96 ;-9%;-26%;17%;-69%;-89%;581%;25%;28%;47794%;UOB KAY HIAN SEKURITAS (AI);JOACHIM ADHI PITER POLTAK & PARTNERS;ANDREAS, SHEILA & PARTNERS;;;;;;25-Jan-22;31-Jan-22;24-Feb-22;22-Jul-22;24-Jan-23;; 320 ; 288 ; 260 ; 180 ; 91 ; 101 ; 111 ;;;;2022;;  ;  ;  ; 388.684.088.166 ; 842.215.735.192 ;;  ;  ;  ; 327.081.900.349 ; 138.131.332.890 ;;  ;  ;  ; 47.066.117.029 ; 69.611.403.463 ;;  ;  ;  ; 12.254.184.972 ; 2.020.287.580 ;;
VTNY;PT Venteny Fortuna International Tbk;15-Dec-22;Financials;Consumer Financing; 338.320 ; 6.265.193.445 ; 360 ;10%;12%;18%;1%;-27%;204%;64%;114%;3%;"BRI DANAREKSA SEKURITAS (OD); SURYA FAJAR SEKURITAS; MIRAE ASSET SEKURITAS INDONESIA (YP); MEGA CAPITAL SEKURITAS (CD)";HLB HADORI SUGIARTO ADI & PARTNERS;HANAFIAH PONGGAWA & PARTNERS (DENTONS HPRP);;;;;;26-Jan-22;02-Feb-22;25-Feb-22;25-Jul-22;25-Jan-23;; 264 ; 640 ; 510 ; 278 ; 198 ; 175 ; 161 ;14-Mar-23;5;;2022;;  ;  ;  ; 1.701.981.142.344 ; 1.702.852.204.960 ;;  ;  ;  ; 1.729.445.374.508 ; 1.658.296.360.439 ;;  ;  ;  ; 123.388.136.531 ; 97.811.903.089 ;;  ;  ;  ;-20.516.957.831 ;-43.159.244.272 ;;
ELIT;PT Data Sinergitama Jaya Tbk;06-Jan-23;Technology;IT Services & Consulting; 60.000 ; 2.031.456.532 ; 120 ;-7%;41%;13%;10%;-24%;;;;;NH KORINDO SEKURITAS INDONESIA (XA);ANWAR & PARTNERS;TUMBUAN & PARTNERS;;;;;;28-Jan-22;04-Feb-22;25-Feb-22;27-Jul-22;27-Jan-23;; 135 ; 214 ; 144 ; 50 ; 50 ; 50 ; 50 ;30-Nov-22;1;;2022;;  ;  ;  ; 93.339.993.271 ; 248.481.934.078 ;;  ;  ;  ; 47.342.740.613 ; 59.951.472.209 ;;  ;  ;  ; 30.894.117.201 ; 45.297.439.561 ;;  ;  ;  ; 221.916.501 ; 960.564.211 ;;
CBPE;PT Citra Buana Prasida Tbk;06-Jan-23;Properties & Real Estate;Real Estate Management & Development; 40.688 ; 1.356.250.000 ; 150 ;-1%;19%;-1%;-11%;-14%;;;;;PANIN SEKURITAS TBK. (GR);DOLI, BAMBANG, SULISTIYANTO, DADANG & ALI;ADAMS & CO., COUNSELLORS-AT-LAW;;;;;;08-Feb-22;14-Feb-22;07-Mar-22;05-Aug-22;07-Feb-23;; 825 ; 740 ; 795 ; 1.885 ; 1.220 ; 1.295 ; 1.340 ;;;;2022;;  ;  ;  ; 671.155.480.776 ; 700.480.127.833 ;;  ;  ;  ; 606.316.256.311 ; 494.309.572.542 ;;  ;  ;  ; 162.521.419.572 ; 268.223.547.341 ;;  ;  ;  ;-11.811.339.742 ; 1.782.996.006 ;;
BEER;PT Jobubu Jarum Minahasa Tbk;06-Jan-23;Consumer Non-Cyclicals;Beverages; 176.000 ; 4.000.000.000 ; 220 ;17%;25%;66%;54%;30%;;;;;UOB KAY HIAN SEKURITAS (AI);TERAMIHARDJA, PRADHONO & CHANDRA;ACHMAD, JUSUF & PARTNERS;;;;;;09-Feb-22;15-Feb-22;08-Mar-22;08-Aug-22;08-Feb-23;; 135 ; 103 ; 67 ; 50 ; 50 ; 69 ; 65 ;30-Nov-22;1;;2022;;  ;  ;  ; 61.520.365.965 ; 111.235.939.116 ;;  ;  ;  ; 38.141.596.263 ; 21.076.649.224 ;;  ;  ;  ; 9.074.396.710 ; 15.691.776.000 ;;  ;  ;  ; 59.623.885 ; 207.070.290 ;;
SOUL;PT Mitra Tirta Buwana Tbk;06-Jan-23;Consumer Non-Cyclicals;Beverages; 29.700 ; 1.082.500.000 ; 110 ;-10%;-36%;-59%;-78%;-80%;;;;;"SHINHAN SEKURITAS INDONESIA (AH); WANTEG SEKURITAS (AN)";SLAMET RIYANTO, ARYANTO & REKAN;ALDJUFRI GILL PRISCILLA RIZKI;;;;;;23-Feb-22;02-Mar-22;22-Mar-22;22-Aug-22;22-Feb-23;; 122 ; 93 ; 93 ; 75 ; 66 ; 60 ; 60 ;;;;2022;;  ;  ;  ; 5.978.673.938.137 ; 6.179.872.213.326 ;;  ;  ;  ; 3.878.478.491.633 ; 3.783.414.486.163 ;;  ;  ;  ; 105.610.181.073 ; 187.368.508.873 ;;  ;  ;  ; 6.115.629.241 ; 17.407.361.675 ;;
CBRE;PT Cakra Buana Resources Energi Tbk;09-Jan-23;Energy;Coal; 79.704 ; 4.538.000.000 ; 108 ;34%;47%;-17%;-54%;-54%;;;;;"RHB SEKURITAS INDONESIA (DR); KGI SEKURITAS INDONESIA (HD)";AGUS UBAIDILLAH & PARTNER;WILLIAM HENDRIK & SIREGAR DJOJONEGORO LAW GROUP;;;;;;09-Mar-22;15-Mar-22;08-Apr-22;08-Sep-22;08-Mar-23;; 238 ; 178 ; 258 ; 246 ; 825 ; 126 ; 126 ;;;;2022;;  ;  ;  ; 224.052.975.463 ; 259.054.226.889 ;;  ;  ;  ; 101.305.155.503 ; 69.231.668.423 ;;  ;  ;  ; 20.298.428.571 ; 33.165.513.200 ;;  ;  ;  ; 1.843.717.463 ; 3.751.677.149 ;;
SUNI;PT Sunindo Pratama Tbk;09-Jan-23;Energy;Oil, Gas & Coal Supports; 180.000 ; 2.500.000.000 ; 300 ;0%;1%;-1%;-7%;23%;;;;;UOB KAY HIAN SEKURITAS (AI);KANAKA PURADIREDJA, SUHARTONO;ACHAMD, JUSUF & PARTNERS;;;;;;10-Mar-22;16-Mar-22;08-Apr-22;09-Sep-22;09-Mar-23;; 110 ; 160 ; 89 ; 51 ; 26 ; 21 ; 21 ;;;;2022;;  ;  ;  ; 41.756.443.000 ; 177.421.179.000 ;;  ;  ;  ; 3.467.254.000 ; 11.327.802.000 ;;  ;  ;  ; 13.850.934.000 ; 25.406.828.000 ;;  ;  ;  ; 1.618.370.000 ; 3.388.439.000 ;;
WINE;PT Hatten Bali Tbk;10-Jan-23;Consumer Non-Cyclicals;Beverages; 87.462 ; 2.710.000.000 ; 129 ;35%;134%;185%;357%;213%;;;;;NH KORINDO SEKURITAS INDONESIA (XA);RAMA WENDRA;WILLIAM HENDRIK & SIREGAR DJOJONEGORO LAW GROUP;;;;;;10-Mar-22;16-Mar-22;08-Apr-22;09-Sep-22;09-Mar-23;; 750 ; 815 ; 910 ; 1.160 ; 1.000 ; 885 ; 890 ;;;;2022;;  ;  ;  ; 5.858.580.000.000 ; 7.000.874.000.000 ;;  ;  ;  ; 2.760.462.000.000 ; 2.831.236.000.000 ;;  ;  ;  ; 1.131.921.000.000 ; 1.633.669.000.000 ;;  ;  ;  ; 200.450.000.000 ; 494.447.000.000 ;;
BMBL;PT Lavender Bina Cendikia Tbk;11-Jan-23;Consumer Cyclicals;Education & Support Services; 52.640 ; 1.030.000.000 ; 188 ;-10%;-40%;-65%;-70%;-88%;;;;;"MIRAE ASSET SEKURITAS INDONESIA (YP); KGI SEKURITAS INDONESIA (HD)";HELIANTONO & PARTNER;ARFP LAWYERS;;;;;;21-Mar-22;25-Mar-22;20-Apr-22;20-Sep-22;20-Mar-23;; 228 ; 234 ; 172 ; 240 ; 208 ; 210 ; 286 ;;;;2022;;  ;  ;  ; 135.767.632.543 ; 147.738.768.423 ;;  ;  ;  ; 81.591.442.837 ; 39.069.078.575 ;;  ;  ;  ; 8.704.894.858 ; 44.933.281.567 ;;  ;  ;  ; 2.214.755.890 ; 4.909.875.287 ;;
PEVE;PT Penta Valent Tbk;24-Jan-23;Healthcare;Pharmaceuticals; 52.616 ; 1.765.625.000 ; 149 ;34%;48%;32%;16%;17%;;;;;LOTUS ANDALAN SEKURITAS (YJ);TERAMIHARDJA, PRADHONO & CHANDRA;WARDHANA KRISTANTO LAWYERS;;;;;;04-Apr-22;08-Apr-22;28-Apr-22;03-Oct-22;03-Apr-23;; 226 ; 550 ; 1.100 ; 424 ; 149 ; 112 ; 154 ;;;;2022;;  ;  ;  ; 260.273.448.636 ; 301.200.488.822 ;;  ;  ;  ; 109.953.611.137 ; 136.242.826.518 ;;  ;  ;  ; 144.355.826.856 ; 301.054.924.724 ;;  ;  ;  ; 8.443.814.598 ; 14.637.824.805 ;;
LAJU;PT Jasa Berdikari Logistics Tbk;27-Jan-23;Transportation & Logistic;Logistics & Deliveries; 70.000 ; 2.149.840.000 ; 100 ;35%;41%;144%;-36%;;;;;;NH KORINDO SEKURITAS INDONESIA (XA);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;HADIWIDJOJO MUKHTAR ARDIBRATA LAW FIRM;;;;;;08-Apr-22;14-Apr-22;28-Apr-22;07-Oct-22;06-Apr-23;; 254 ; 194 ; 157 ; 182 ; 138 ; 143 ; 144 ;;;;2022;;  ;  ;  ; 67.228.777.690 ; 117.797.212.088 ;;  ;  ;  ; 25.783.278.123 ; 14.381.688.308 ;;  ;  ;  ; 34.557.247.232 ; 35.091.275.550 ;;  ;  ;  ; 1.809.986.749 ; 4.329.917.651 ;;
